"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0048666","neuron development","667","7","50","10.4708","3.388","0.000001403601520324","5.85275617004628","0.000805667272665977","0.000326967042273","0.00226611567487565","CG32373,baz,path,zfh1,Fas3,Sdc,pk","FBgn0052373,FBgn0000163,FBgn0036007,FBgn0004606,FBgn0000636,FBgn0010415,FBgn0003090"
"","GO Biological Processes","GO:0001736","establishment of planar polarity","95","4","28.571","42.009","5.393","0.00000190775042449409","5.71947844113851","0.00109504874365961","0.000326967042273","0.00226611567487565","sano,fred,pk,baz","FBgn0034408,FBgn0051774,FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0007164","establishment of tissue polarity","95","4","28.571","42.009","5.393","0.00000190775042449409","5.71947844113851","0.00109504874365961","0.000326967042273","0.00226611567487565","pk,baz,sano,fred","FBgn0003090,FBgn0000163,FBgn0034408,FBgn0051774"
"","GO Biological Processes","GO:0048667","cell morphogenesis involved in neuron differentiation","452","6","42.857","13.244","3.727","0.00000267486217673565","5.57269859025031","0.00153537088944626","0.000326967042273","0.00226611567487565","baz,Sdc,Fas3,pk,zfh1,path","FBgn0000163,FBgn0010415,FBgn0000636,FBgn0003090,FBgn0004606,FBgn0036007"
"","GO Biological Processes","GO:0001738","morphogenesis of a polarized epithelium","105","4","28.571","38.0082","5.248","0.00000284814496753485","5.54543790934763","0.001634835211365","0.000326967042273","0.00226611567487565","fred,pk,baz,sano","FBgn0051774,FBgn0003090,FBgn0000163,FBgn0034408"
"","GO Biological Processes","GO:0048731","system development","1595","9","64.286","5.6297","2.493","0.00000378190076586016","5.4222898708915","0.00217081103960373","0.000361801839933955","0.0025075457604948","pk,CG32373,Sdc,zfh1,path,sano,fred,Fas3,baz","FBgn0003090,FBgn0052373,FBgn0010415,FBgn0004606,FBgn0036007,FBgn0034408,FBgn0051774,FBgn0000636,FBgn0000163"
"","GO Biological Processes","GO:0030182","neuron differentiation","843","7","50","8.2847","3.05","0.00000671449544736048","5.17298661630277","0.00385412038678492","0.00055058862668356","0.00381597334294663","pk,zfh1,Fas3,path,baz,CG32373,Sdc","FBgn0003090,FBgn0004606,FBgn0000636,FBgn0036007,FBgn0000163,FBgn0052373,FBgn0010415"
"","GO Biological Processes","GO:0000902","cell morphogenesis","561","6","42.857","10.6707","3.416","0.00000931523639914007","5.03080611923909","0.0053469456931064","0.0006683682116383","0.00463227018372557","Sdc,Fas3,pk,zfh1,path,baz","FBgn0010415,FBgn0000636,FBgn0003090,FBgn0004606,FBgn0036007,FBgn0000163"
"","GO Biological Processes","GO:0048699","generation of neurons","912","7","50","7.6579","2.937","0.0000113026780300118","4.94681864360862","0.00648773718922676","0.000720859687691862","0.00499607369081733","zfh1,Fas3,path,baz,CG32373,Sdc,pk","FBgn0004606,FBgn0000636,FBgn0036007,FBgn0000163,FBgn0052373,FBgn0010415,FBgn0003090"
"","GO Biological Processes","GO:0022008","neurogenesis","979","7","50","7.1338","2.835","0.00001802625974367","4.74409437539592","0.0103470730928666","0.00103470730928666","0.0071712623883515","path,baz,CG32373,Sdc,pk,zfh1,Fas3","FBgn0036007,FBgn0000163,FBgn0052373,FBgn0010415,FBgn0003090,FBgn0004606,FBgn0000636"
