"","HinvL","LinvH","HX2","LX2","vea_ssd","vea_ssp","appears"
"unc-13-4A",1,1,1,1,1,1,6
"CG32373",1,1,0,1,0,1,4
"Dys",1,1,0,0,1,1,4
"Pde11",1,1,0,0,1,1,4
"Fili",1,1,0,1,1,0,4
"CG42458",1,1,0,1,1,0,4
"Wdr62",1,1,0,0,1,1,4
"fred",1,1,0,1,0,1,4
"CG44153",1,1,0,0,1,1,4
"pum",1,1,0,1,0,0,3
"dpy",1,1,1,0,0,0,3
"shot",1,1,0,0,1,0,3
"5-HT2B",1,1,0,1,0,0,3
"igl",1,1,1,0,0,0,3
"erm",1,1,0,0,1,0,3
"px",1,1,0,0,0,1,3
"Gycbeta100B",1,1,1,0,0,0,3
"mtTFB2",1,1,0,1,0,0,3
"cwo",1,1,0,1,0,0,3
"Atat",1,1,1,0,0,0,3
"Egfr",1,1,1,0,0,0,3
"CG30283",1,1,1,0,0,0,3
"dpr2",1,1,0,0,0,1,3
"CG32333",1,1,0,0,1,0,3
"Pdp1",1,1,0,0,0,1,3
"Pura",1,1,0,1,0,0,3
"msi",1,1,0,0,1,0,3
"pyd",1,1,0,1,0,0,3
"side-VIII",1,1,1,0,0,0,3
"Glut1",1,1,0,0,0,1,3
"Strn-Mlck",1,1,0,0,1,0,3
"MCU",1,1,0,1,0,0,3
"CG45263",1,1,0,1,0,0,3
"rols",1,1,0,0,1,0,3
"Sema2b",1,1,0,0,0,1,3
"Pkc53E",1,1,0,1,0,0,3
"Fife",1,1,0,0,1,0,3
"nmo",1,1,0,0,1,0,3
"Antp",1,1,0,1,0,0,3
"CG46458",1,1,0,1,0,0,3
"tei",1,1,0,0,1,0,3
"CG34354",1,1,0,0,0,1,3
"Tmtc1",1,1,0,0,0,1,3
"CG30089",1,1,1,0,0,0,3
"hth",1,1,0,1,0,0,3
"CG42673",1,1,1,0,0,0,3
"beat-IIb",1,1,0,0,0,1,3
"lap",1,1,0,1,0,0,3
"RasGAP1",1,1,1,0,0,0,3
"Sap-r",1,1,1,0,0,0,3
"Octalpha2R",1,1,1,0,0,0,3
"CG34393",1,1,0,0,0,1,3
"MESK2",1,1,1,0,0,0,3
"Mical",1,1,0,1,0,0,3
"CG14830",1,1,0,1,0,0,3
"CG12964",1,1,1,0,0,0,3
"CG9837",1,1,0,1,0,0,3
"fru",1,1,0,0,1,0,3
"tun",1,1,1,0,0,0,3
"olf413",1,1,0,1,0,0,3
"sli",1,1,1,0,0,0,3
"dally",1,1,0,0,0,1,3
"fz",1,1,0,0,0,1,3
"Hsp26",1,1,1,0,0,0,3
"Shrm",1,1,0,0,0,1,3
"Rcd2",1,1,0,1,0,0,3
"Gad1",1,1,0,1,0,0,3
"Samuel",1,1,0,1,0,0,3
"Wnt4",1,1,0,0,1,0,3
"TkR86C",1,1,0,1,0,0,3
"CG42750",0,1,0,0,1,1,3
"eIF5B",0,0,0,1,1,1,3
"timeout",1,1,0,0,0,0,2
"CG42784",1,1,0,0,0,0,2
"lov",1,1,0,0,0,0,2
"Nav",1,1,0,0,0,0,2
"heca",1,1,0,0,0,0,2
"Pif1A",1,1,0,0,0,0,2
"Pif1B",1,1,0,0,0,0,2
"Ir85a",1,1,0,0,0,0,2
"epsilonCOP",1,1,0,0,0,0,2
"Bacc",1,1,0,0,0,0,2
"CG46523",1,1,0,0,0,0,2
"CG5687",1,1,0,0,0,0,2
"Rgk2",1,1,0,0,0,0,2
"Prosap",1,1,0,0,0,0,2
"spn-A",1,1,0,0,0,0,2
"Rpp14b",1,1,0,0,0,0,2
"ninaC",1,1,0,0,0,0,2
"Sap47",1,1,0,0,0,0,2
"Khc-73",1,1,0,0,0,0,2
"CG31559",1,1,0,0,0,0,2
"AP-2mu",1,1,0,0,0,0,2
"PVRAP",1,1,0,0,0,0,2
"Sur",1,1,0,0,0,0,2
"CG13894",1,1,0,0,0,0,2
"nAChRalpha5",1,1,0,0,0,0,2
"nsl1",1,1,0,0,0,0,2
"otp",1,1,0,0,0,0,2
"kek3",1,1,0,0,0,0,2
"CG43367",1,1,0,0,0,0,2
"flz",1,1,0,0,0,0,2
"Hipk",1,1,0,0,0,0,2
"Irp-1A",1,1,0,0,0,0,2
"CG15170",1,1,0,0,0,0,2
"Swip-1",1,1,0,0,0,0,2
"E2f1",1,1,0,0,0,0,2
"CG7457",1,1,0,0,0,0,2
"CG4213",1,1,0,0,0,0,2
"CG4781",1,1,0,0,0,0,2
"CG15554",1,1,0,0,0,0,2
"CG5888",1,1,0,0,0,0,2
"PIG-S",1,1,0,0,0,0,2
"stwl",1,1,0,0,0,0,2
"MED8",1,1,0,0,0,0,2
"Rgk3",1,1,0,0,0,0,2
"Sfxn2",1,1,0,0,0,0,2
"CG10936",1,1,0,0,0,0,2
"CG10737",1,1,0,0,0,0,2
"sty",1,1,0,0,0,0,2
"Lim3",1,1,0,0,0,0,2
"PGRP-LC",1,1,0,0,0,0,2
"CDase",1,1,0,0,0,0,2
"CG31869",1,1,0,0,0,0,2
"robo2",1,1,0,0,0,0,2
"Meltrin",1,1,0,0,0,0,2
"vrs",1,1,0,0,0,0,2
"CG42324",1,1,0,0,0,0,2
"JMJD6",1,1,0,0,0,0,2
"Tehao",1,1,0,0,0,0,2
"Dh44-R2",1,1,0,0,0,0,2
"CG32264",1,1,0,0,0,0,2
"ppk27",1,1,0,0,0,0,2
"Fkbp14",1,1,0,0,0,0,2
"NK7.1",1,1,0,0,0,0,2
"VGlut1",1,1,0,0,0,0,2
"asRNA:CR43257",1,1,0,0,0,0,2
"ETH",1,1,0,0,0,0,2
"Slh",1,1,0,0,0,0,2
"Camta",1,1,0,0,0,0,2
"vri",1,1,0,0,0,0,2
"CAP",1,1,0,0,0,0,2
"CG13794",1,1,0,0,0,0,2
"Sulf1",1,1,0,0,0,0,2
"CG9663",1,1,0,0,0,0,2
"CG31637",1,1,0,0,0,0,2
"scrib",1,1,0,0,0,0,2
"Fhos",1,1,0,0,0,0,2
"CG6576",1,1,0,0,0,0,2
"jeb",1,1,0,0,0,0,2
"Sag1",1,1,0,0,0,0,2
"rogdi",1,1,0,0,0,0,2
"CG8323",1,1,0,0,0,0,2
"CG34347",1,1,0,0,0,0,2
"mbl",1,1,0,0,0,0,2
"Pdxk",1,1,0,0,0,0,2
"ball",1,1,0,0,0,0,2
"MESR3",1,1,0,0,0,0,2
"CG13590",1,1,0,0,0,0,2
